frame_index,cam_0_ts_ms,cam_1_ts_ms,cam_2_ts_ms,cam_3_ts_ms,playback_time_ms,latency_0_ms,latency_1_ms,latency_2_ms,latency_3_ms,sync_error_ms
235,1777425380775,1777425375548,1777425380871,1777425366959,1777425381306,531,5758,435,14347,13912
236,1777425380775,1777425380943,1777425380924,1777425366959,1777425381387,612,444,463,14428,13984
237,1777425380987,1777425380983,1777425380960,1777425366959,1777425381468,481,485,508,14509,14028
238,1777425380987,1777425380983,1777425381104,1777425366959,1777425381547,560,564,443,14588,14145
239,1777425381071,1777425381067,1777425381192,1777425366959,1777425381627,556,560,435,14668,14233
240,1777425381071,1777425381067,1777425381192,1777425366959,1777425381706,635,639,514,14747,14233
241,1777425381071,1777425381067,1777425381293,1777425366959,1777425381787,716,720,494,14828,14334
242,1777425381071,1777425381067,1777425381425,1777425366959,1777425381867,796,800,442,14908,14466
243,1777425381071,1777425381067,1777425381494,1777425366959,1777425381947,876,880,453,14988,14535
244,1777425381071,1777425381067,1777425381494,1777425366959,1777425382027,956,960,533,15068,14535
245,1777425381071,1777425381067,1777425381556,1777425366959,1777425382109,1038,1042,553,15150,14597
246,1777425381071,1777425381067,1777425381692,1777425366959,1777425382190,1119,1123,498,15231,14733
247,1777425381071,1777425381067,1777425381794,1777425366959,1777425382271,1200,1204,477,15312,14835
248,1777425381071,1777425381067,1777425381892,1777425366959,1777425382353,1282,1286,461,15394,14933
249,1777425381830,1777425381067,1777425381959,1777425366959,1777425382433,603,1366,474,15474,15000
250,1777425381898,1777425381067,1777425382032,1777425366959,1777425382514,616,1447,482,15555,15073
251,1777425381898,1777425381067,1777425382095,1777425366959,1777425382595,697,1528,500,15636,15136
252,1777425381898,1777425381067,1777425382158,1777425366959,1777425382676,778,1609,518,15717,15199
253,1777425381898,1777425382242,1777425382328,1777425366959,1777425382757,859,515,429,15798,15369
254,1777425381898,1777425382265,1777425382426,1777425366959,1777425382837,939,572,411,15878,15467
255,1777425381898,1777425382265,1777425382458,1777425366959,1777425382917,1019,652,459,15958,15499
256,1777425381898,1777425382265,1777425382524,1777425366959,1777425382997,1099,732,473,16038,15565
257,1777425381898,1777425382265,1777425382627,1777425366959,1777425383078,1180,813,451,16119,15668
258,1777425381898,1777425382265,1777425382692,1777425366959,1777425383158,1260,893,466,16199,15733
259,1777425381898,1777425382265,1777425382794,1777425366959,1777425383239,1341,974,445,16280,15835
260,1777425381898,1777425382265,1777425382894,1777425366959,1777425383320,1422,1055,426,16361,15935
261,1777425381898,1777425382436,1777425382994,1777425366959,1777425383402,1504,966,408,16443,16035
262,1777425381898,1777425382436,1777425382994,1777425366959,1777425383484,1586,1048,490,16525,16035
263,1777425381898,1777425383042,1777425382994,1777425366959,1777425383565,1667,523,571,16606,16083
264,1777425381898,1777425383065,1777425382994,1777425366959,1777425383648,1750,583,654,16689,16106
265,1777425381898,1777425383076,1777425383060,1777425366959,1777425383729,1831,653,669,16770,16117
266,1777425381898,1777425383076,1777425383060,1777425366959,1777425383809,1911,733,749,16850,16117
267,1777425381898,1777425383076,1777425383289,1777425366959,1777425383890,1992,814,601,16931,16330
268,1777425381898,1777425383076,1777425383356,1777425366959,1777425383971,2073,895,615,17012,16397
269,1777425381898,1777425383076,1777425383528,1777425366959,1777425384052,2154,976,524,17093,16569
270,1777425381898,1777425383076,1777425383593,1777425366959,1777425384133,2235,1057,540,17174,16634
271,1777425381898,1777425383076,1777425383666,1777425366959,1777425384214,2316,1138,548,17255,16707
272,1777425381898,1777425383076,1777425383826,1777425366959,1777425384296,2398,1220,470,17337,16867
273,1777425381898,1777425383076,1777425383927,1777425366959,1777425384376,2478,1300,449,17417,16968
274,1777425381898,1777425383076,1777425383956,1777425366959,1777425384457,2559,1381,501,17498,16997
275,1777425381898,1777425383076,1777425384060,1777425366959,1777425384538,2640,1462,478,17579,17101
276,1777425381898,1777425383076,1777425384158,1777425366959,1777425384619,2721,1543,461,17660,17199
277,1777425381898,1777425383076,1777425384194,1777425366959,1777425384700,2802,1624,506,17741,17235
278,1777425381898,1777425384221,1777425384327,1777425366959,1777425384782,2884,561,455,17823,17368
279,1777425384364,1777425384357,1777425384362,1777425366959,1777425384862,498,505,500,17903,17405
280,1777425384364,1777425384513,1777425384486,1777425366959,1777425384943,579,430,457,17984,17554
281,1777425384364,1777425384513,1777425384556,1777425366959,1777425385022,658,509,466,18063,17597
282,1777425384540,1777425384528,1777425384589,1777425366959,1777425385103,563,575,514,18144,17630
283,1777425384566,1777425384528,1777425384754,1777425366959,1777425385185,619,657,431,18226,17795
284,1777425384566,1777425384528,1777425384820,1777425366959,1777425385266,700,738,446,18307,17861
285,1777425384566,1777425384528,1777425384889,1777425366959,1777425385347,781,819,458,18388,17930
286,1777425384566,1777425384780,1777425384926,1777425366959,1777425385428,862,648,502,18469,17967
287,1777425384566,1777425384780,1777425385059,1777425366959,1777425385509,943,729,450,18550,18100
288,1777425384566,1777425384780,1777425385059,1777425366959,1777425385590,1024,810,531,18631,18100
289,1777425384566,1777425384780,1777425385193,1777425366959,1777425385672,1106,892,479,18713,18234
290,1777425384566,1777425384780,1777425385293,1777425366959,1777425385753,1187,973,460,18794,18334
291,1777425384566,1777425384780,1777425385326,1777425366959,1777425385834,1268,1054,508,18875,18367
292,1777425384566,1777425384780,1777425385358,1777425366959,1777425385916,1350,1136,558,18957,18399
293,1777425384566,1777425384780,1777425385594,1777425366959,1777425385998,1432,1218,404,19039,18635
294,1777425384566,1777425384780,1777425385654,1777425366959,1777425386079,1513,1299,425,19120,18695
