frame_index,cam_0_ts_ms,cam_1_ts_ms,playback_time_ms,latency_0_ms,latency_1_ms,sync_error_ms
214,1777497105984,1777497105610,1777497106152,168,542,374
215,1777497106017,1777497105610,1777497106209,192,599,407
216,1777497106082,1777497105686,1777497106268,186,582,396
217,1777497106148,1777497105754,1777497106326,178,572,394
218,1777497106228,1777497105787,1777497106382,154,595,441
219,1777497106284,1777497105854,1777497106437,153,583,430
220,1777497106284,1777497105854,1777497106492,208,638,430
221,1777497106380,1777497105854,1777497106549,169,695,526
222,1777497106446,1777497105854,1777497106606,160,752,592
223,1777497106484,1777497105854,1777497106664,180,810,630
224,1777497106547,1777497106182,1777497106724,177,542,365
225,1777497106617,1777497106182,1777497106783,166,601,435
226,1777497106687,1777497106182,1777497106841,154,659,505
227,1777497106750,1777497106243,1777497106900,150,657,507
228,1777497106781,1777497106243,1777497106958,177,715,538
229,1777497106847,1777497106320,1777497107016,169,696,527
230,1777497106914,1777497106354,1777497107072,158,718,560
231,1777497106947,1777497106354,1777497107128,181,774,593
232,1777497107019,1777497106388,1777497107185,166,797,631
233,1777497107083,1777497106421,1777497107242,159,821,662
234,1777497107147,1777497106421,1777497107300,153,879,726
235,1777497107179,1777497106454,1777497107356,177,902,725
236,1777497107251,1777497106487,1777497107414,163,927,764
237,1777497107315,1777497106487,1777497107472,157,985,828
238,1777497107379,1777497106487,1777497107530,151,1043,892
239,1777497107379,1777497106952,1777497107589,210,637,427
240,1777497107485,1777497107021,1777497107647,162,626,464
241,1777497107547,1777497107093,1777497107704,157,611,454
242,1777497107580,1777497107093,1777497107761,181,668,487
243,1777497107614,1777497107093,1777497107819,205,726,521
244,1777497107723,1777497107093,1777497107877,154,784,630
245,1777497107723,1777497107093,1777497107935,212,842,630
246,1777497107814,1777497107093,1777497107993,179,900,721
247,1777497107881,1777497107093,1777497108052,171,959,788
248,1777497107881,1777497107544,1777497108111,230,567,337
249,1777497108017,1777497107650,1777497108170,153,520,367
250,1777497108017,1777497107685,1777497108228,211,543,332
251,1777497108118,1777497107685,1777497108284,166,599,433
252,1777497108118,1777497107753,1777497108343,225,590,365
253,1777497108246,1777497107753,1777497108400,154,647,493
254,1777497108246,1777497108054,1777497108458,212,404,192
255,1777497108345,1777497108054,1777497108514,169,460,291
256,1777497108345,1777497108076,1777497108571,226,495,269
257,1777497108446,1777497108076,1777497108628,182,552,370
258,1777497108512,1777497108122,1777497108685,173,563,390
259,1777497108550,1777497108200,1777497108741,191,541,350
260,1777497108645,1777497108260,1777497108797,152,537,385
261,1777497108645,1777497108314,1777497108854,209,540,331
262,1777497108711,1777497108355,1777497108910,199,555,356
263,1777497108749,1777497108376,1777497108969,220,593,373
264,1777497108816,1777497108415,1777497109026,210,611,401
265,1777497108915,1777497108487,1777497109083,168,596,428
266,1777497108948,1777497108487,1777497109138,190,651,461
267,1777497108948,1777497108509,1777497109195,247,686,439
268,1777497109048,1777497108550,1777497109253,205,703,498
269,1777497109114,1777497108584,1777497109311,197,727,530
270,1777497109180,1777497108617,1777497109369,189,752,563
271,1777497109247,1777497108617,1777497109426,179,809,630
272,1777497109281,1777497108617,1777497109482,201,865,664
273,1777497109348,1777497108617,1777497109541,193,924,731
274,1777497109416,1777497109020,1777497109598,182,578,396
275,1777497109449,1777497109055,1777497109654,205,599,394
276,1777497109481,1777497109426,1777497109711,230,285,55
277,1777497109514,1777497109553,1777497109766,252,213,39
278,1777497109514,1777497109586,1777497109822,308,236,72
279,1777497109614,1777497109586,1777497109879,265,293,28
280,1777497109679,1777497109687,1777497109935,256,248,8
281,1777497109716,1777497109751,1777497109990,274,239,35
282,1777497109747,1777497109886,1777497110046,299,160,139
283,1777497109747,1777497109915,1777497110100,353,185,168
284,1777497109747,1777497109987,1777497110156,409,169,240
285,1777497109781,1777497110042,1777497110212,431,170,261
286,1777497109881,1777497110117,1777497110268,387,151,236
287,1777497109944,1777497110151,1777497110323,379,172,207
288,1777497109976,1777497110219,1777497110378,402,159,243
289,1777497110015,1777497110275,1777497110435,420,160,260
290,1777497110081,1777497110320,1777497110491,410,171,239
291,1777497110185,1777497110386,1777497110547,362,161,201
292,1777497110345,1777497110452,1777497110603,258,151,107
293,1777497110378,1777497110486,1777497110658,280,172,108
294,1777497110378,1777497110553,1777497110714,336,161,175
295,1777497110546,1777497110615,1777497110770,224,155,69
296,1777497110614,1777497110648,1777497110825,211,177,34
297,1777497110714,1777497110718,1777497110880,166,162,4
298,1777497110780,1777497110784,1777497110936,156,152,4
299,1777497110814,1777497110819,1777497110991,177,172,5
300,1777497110848,1777497110853,1777497111049,201,196,5
301,1777497110848,1777497110941,1777497111107,259,166,93
302,1777497110981,1777497110983,1777497111165,184,182,2
303,1777497111047,1777497111052,1777497111220,173,168,5
304,1777497111080,1777497111104,1777497111275,195,171,24
305,1777497111181,1777497111150,1777497111331,150,181,31
306,1777497111214,1777497111218,1777497111388,174,170,4
307,1777497111247,1777497111286,1777497111443,196,157,39
308,1777497111311,1777497111348,1777497111499,188,151,37
309,1777497111378,1777497111381,1777497111555,177,174,3
310,1777497111424,1777497111450,1777497111612,188,162,26
311,1777497111515,1777497111485,1777497111669,154,184,30
312,1777497111548,1777497111551,1777497111726,178,175,3
313,1777497111614,1777497111617,1777497111782,168,165,3
314,1777497111677,1777497111686,1777497111839,162,153,9
315,1777497111710,1777497111708,1777497111896,186,188,2
316,1777497111749,1777497111782,1777497111955,206,173,33
317,1777497111842,1777497111850,1777497112015,173,165,8
318,1777497111915,1777497111885,1777497112073,158,188,30
319,1777497111948,1777497111951,1777497112131,183,180,3
320,1777497112010,1777497111951,1777497112187,177,236,59
321,1777497112043,1777497112049,1777497112243,200,194,6
322,1777497112148,1777497112049,1777497112301,153,252,99
323,1777497112181,1777497112049,1777497112358,177,309,132
324,1777497112246,1777497112084,1777497112416,170,332,162
325,1777497112311,1777497112084,1777497112475,164,391,227
326,1777497112382,1777497112118,1777497112535,153,417,264
327,1777497112421,1777497112152,1777497112593,172,441,269
328,1777497112481,1777497112217,1777497112649,168,432,264
329,1777497112520,1777497112250,1777497112707,187,457,270
330,1777497112576,1777497112318,1777497112763,187,445,258
331,1777497112648,1777497112352,1777497112821,173,469,296
332,1777497112710,1777497112408,1777497112878,168,470,302
333,1777497112777,1777497112483,1777497112935,158,452,294
334,1777497112814,1777497112518,1777497112993,179,475,296
335,1777497112848,1777497112653,1777497113051,203,398,195
336,1777497112947,1777497112653,1777497113109,162,456,294
337,1777497112980,1777497112874,1777497113166,186,292,106
338,1777497113052,1777497112874,1777497113224,172,350,178
339,1777497113111,1777497112914,1777497113280,169,366,197
340,1777497113176,1777497113016,1777497113336,160,320,160
341,1777497113210,1777497113082,1777497113392,182,310,128
342,1777497113277,1777497113117,1777497113450,173,333,160
343,1777497113342,1777497113184,1777497113506,164,322,158
344,1777497113381,1777497113285,1777497113562,181,277,96
345,1777497113413,1777497113285,1777497113618,205,333,128
346,1777497113514,1777497113307,1777497113675,161,368,207
347,1777497113580,1777497113307,1777497113733,153,426,273
348,1777497113618,1777497113380,1777497113789,171,409,238
349,1777497113676,1777497113452,1777497113847,171,395,224
350,1777497113714,1777497113507,1777497113904,190,397,207
351,1777497113778,1777497113548,1777497113960,182,412,230
352,1777497113842,1777497113548,1777497114016,174,468,294
353,1777497113909,1777497113651,1777497114073,164,422,258
354,1777497113975,1777497113717,1777497114129,154,412,258
355,1777497114021,1777497113784,1777497114185,164,401,237
356,1777497114078,1777497113852,1777497114240,162,388,226
357,1777497114143,1777497113852,1777497114296,153,444,291
358,1777497114176,1777497113873,1777497114353,177,480,303
359,1777497114243,1777497113982,1777497114410,167,428,261
360,1777497114309,1777497114050,1777497114465,156,415,259
361,1777497114353,1777497114140,1777497114520,167,380,213
362,1777497114410,1777497114140,1777497114574,164,434,270
363,1777497114476,1777497114181,1777497114630,154,449,295
364,1777497114519,1777497114250,1777497114687,168,437,269
365,1777497114575,1777497114250,1777497114744,169,494,325
366,1777497114645,1777497114306,1777497114801,156,495,339
367,1777497114679,1777497114306,1777497114859,180,553,373
368,1777497114712,1777497114348,1777497114917,205,569,364
369,1777497114746,1777497114383,1777497114976,230,593,363
370,1777497114852,1777497114457,1777497115034,182,577,395
371,1777497114878,1777497114551,1777497115092,214,541,327
372,1777497114976,1777497114551,1777497115148,172,597,425
373,1777497114976,1777497114551,1777497115204,228,653,425
374,1777497115047,1777497114551,1777497115261,214,710,496
375,1777497115112,1777497114618,1777497115318,206,700,494
376,1777497115209,1777497114640,1777497115374,165,734,569
377,1777497115253,1777497114640,1777497115432,179,792,613
378,1777497115313,1777497114680,1777497115489,176,809,633
379,1777497115379,1777497114680,1777497115545,166,865,699
380,1777497115447,1777497114680,1777497115605,158,925,767
381,1777497115510,1777497114680,1777497115662,152,982,830
382,1777497115543,1777497115084,1777497115721,178,637,459
383,1777497115612,1777497115151,1777497115780,168,629,461
384,1777497115612,1777497115151,1777497115837,225,686,461
385,1777497115612,1777497115151,1777497115896,284,745,461
386,1777497115775,1777497115151,1777497115955,180,804,624
387,1777497115852,1777497115580,1777497116014,162,434,272
388,1777497115908,1777497115615,1777497116073,165,458,293
389,1777497115941,1777497115650,1777497116129,188,479,291
390,1777497116011,1777497115650,1777497116186,175,536,361
391,1777497116079,1777497115747,1777497116243,164,496,332
392,1777497116145,1777497115747,1777497116299,154,552,398
393,1777497116178,1777497115747,1777497116356,178,609,431
394,1777497116244,1777497115814,1777497116413,169,599,430
395,1777497116276,1777497115814,1777497116471,195,657,462
396,1777497116374,1777497115849,1777497116531,157,682,525
397,1777497116413,1777497115883,1777497116589,176,706,530
398,1777497116445,1777497115917,1777497116645,200,728,528
399,1777497116509,1777497115917,1777497116702,193,785,592
400,1777497116611,1777497116015,1777497116762,151,747,596
401,1777497116645,1777497116049,1777497116821,176,772,596
402,1777497116678,1777497116083,1777497116878,200,795,595
403,1777497116710,1777497116083,1777497116935,225,852,627
