frame_index,cam_0_ts_ms,cam_1_ts_ms,playback_time_ms,latency_0_ms,latency_1_ms,sync_error_ms
230,1777496706699,1777496700363,1777496707426,727,7063,6336
231,1777496706699,1777496700363,1777496707484,785,7121,6336
232,1777496706699,1777496700431,1777496707542,843,7111,6268
233,1777496706766,1777496700431,1777496707601,835,7170,6335
234,1777496706897,1777496700431,1777496707659,762,7228,6466
235,1777496707067,1777496700431,1777496707717,650,7286,6636
236,1777496707129,1777496700431,1777496707773,644,7342,6698
237,1777496707129,1777496700431,1777496707830,701,7399,6698
238,1777496707266,1777496700431,1777496707889,623,7458,6835
239,1777496707333,1777496700474,1777496707948,615,7474,6859
240,1777496707365,1777496700474,1777496708004,639,7530,6891
241,1777496707433,1777496700509,1777496708060,627,7551,6924
242,1777496707433,1777496700509,1777496708117,684,7608,6924
243,1777496707466,1777496700577,1777496708176,710,7599,6889
244,1777496707533,1777496700577,1777496708234,701,7657,6956
245,1777496707698,1777496700577,1777496708291,593,7714,7121
246,1777496707733,1777496700577,1777496708347,614,7770,7156
247,1777496707761,1777496700577,1777496708403,642,7826,7184
248,1777496707761,1777496700597,1777496708461,700,7864,7164
249,1777496707831,1777496700597,1777496708520,689,7923,7234
250,1777496707866,1777496700642,1777496708577,711,7935,7224
251,1777496707966,1777496700642,1777496708635,669,7993,7324
252,1777496707966,1777496700642,1777496708693,727,8051,7324
253,1777496707966,1777496700664,1777496708753,787,8089,7302
254,1777496708066,1777496700709,1777496708813,747,8104,7357
255,1777496708066,1777496700730,1777496708870,804,8140,7336
256,1777496708166,1777496700730,1777496708928,762,8198,7436
257,1777496708166,1777496700776,1777496708986,820,8210,7390
258,1777496708231,1777496700797,1777496709043,812,8246,7434
259,1777496708231,1777496700842,1777496709101,870,8259,7389
260,1777496708231,1777496700842,1777496709159,928,8317,7389
261,1777496708266,1777496700910,1777496709219,953,8309,7356
262,1777496708293,1777496700910,1777496709278,985,8368,7383
263,1777496708365,1777496700910,1777496709336,971,8426,7455
264,1777496708399,1777496700930,1777496709395,996,8465,7469
265,1777496708465,1777496700930,1777496709452,987,8522,7535
266,1777496708531,1777496700976,1777496709510,979,8534,7555
267,1777496708531,1777496700976,1777496709568,1037,8592,7555
268,1777496708639,1777496700976,1777496709627,988,8651,7663
269,1777496708732,1777496700976,1777496709686,954,8710,7756
270,1777496708831,1777496700976,1777496709745,914,8769,7855
271,1777496708932,1777496700976,1777496709803,871,8827,7956
272,1777496709031,1777496700976,1777496709860,829,8884,8055
